epsilon,neighborhood,year,month,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173
1.0,0,2019,11,0,0,0,10,0,0,21,0,0,22,59,39,8,8,2,0,7,4,15,0,1,13,0,0,16,12,0,6,0,0,11,11,31,0,29,17,969,29,0,0,85,0,41,289,6,13,0,34,0,28,19,0,24,9,0,25,0,0,1,2,0,56,0,32,0,29,18,33,0,19,18,0,40,0,20,0,0,0,7,9,16,0,3,52,0,24,0,16,3,22,0,6,0,0,53,0,36,13,8,0,17,0,0,0,5,0,0,0,0,0,0,0,19,0,2,7,15,16,24,26,0,5,0,0,6,0,0,0,0,4,0,0,5,0,0,2,2,0,0,0,18,0,0,0,33,97,0,2,19,0,9,0,31,0,1,0,0,49,0,11,11,24,0,0,0,0,0,0,6,10,22,1,8,0
1.0,0,2019,12,0,28,1,17,33,27,0,3,19,19,21,0,0,4,9,0,9,19,47,7,6,5,7,0,6,17,20,0,0,9,0,39,0,0,29,0,1560,67,0,0,7,0,0,253,0,14,2,0,30,4,20,0,0,135,0,0,0,0,0,3,22,0,21,0,0,26,0,0,0,2,0,27,0,0,3,0,0,0,0,0,14,0,0,0,8,6,0,13,0,0,0,13,36,0,0,0,13,0,0,10,23,0,0,8,0,13,0,8,0,0,6,1,16,0,22,6,0,13,10,0,0,0,1,11,26,0,13,0,11,15,19,2,0,0,10,52,0,26,4,0,0,11,0,0,0,9,10,34,108,0,0,0,0,0,0,7,10,0,0,0,46,4,43,0,0,114,0,0,0,0,0,0,0,0
1.0,1,2019,1,12,4,0,4,6,17,0,23,15,65,13,0,0,0,0,16,13,2,6,0,0,8,0,0,11,0,24,2,21,0,0,23,0,3,0,6,46,0,6,0,20,0,4,0,20,0,51,0,36,0,36,0,6,5,0,141,3,5,18,26,3,14,81,21,0,38,3,14,12,0,0,3,6,0,66,67,5,0,19,0,0,0,10,0,0,0,0,0,0,13,0,0,0,5,21,0,22,12,41,8,2,0,75,0,13,0,16,12,1,0,0,0,4,0,0,0,3,9,13,0,0,29,5,0,0,4,0,0,2,0,18,28,0,20,19,17,21,24,0,0,0,0,33,8,0,3,16,24,71,8,0,36,0,0,6,33,0,28,0,0,0,1,2,1,0,3,13,0,21,30,0,0,49,0
1.0,1,2019,2,0,8,6,0,0,2,26,0,33,146,27,0,3,0,41,14,0,0,2,0,10,5,4,0,18,2,9,19,9,14,0,9,0,0,29,22,23,0,0,0,7,2,1,0,0,30,49,40,0,0,24,0,66,0,88,0,5,0,0,0,6,11,0,7,18,7,3,0,0,0,48,27,17,26,99,0,1,6,18,11,47,0,0,0,14,0,0,64,6,0,26,0,0,0,58,0,0,0,19,0,0,0,0,28,0,19,0,28,0,0,0,50,0,5,3,0,0,5,0,0,0,0,0,0,27,0,0,36,0,0,0,7,0,19,0,0,0,5,36,19,20,32,0,12,0,4,0,0,98,8,0,0,0,0,13,6,0,22,1,7,0,0,8,8,0,0,21,0,0,57,5,87,31,7
1.0,1,2019,3,40,0,0,30,3,57,0,30,101,75,0,0,0,44,0,0,10,0,1,0,0,18,0,8,5,1,17,0,0,58,17,5,12,0,0,0,87,0,49,0,30,18,30,6,0,0,0,0,0,0,12,13,0,3,74,0,0,10,0,34,0,16,0,6,33,3,0,14,23,0,0,2,0,18,132,14,0,61,16,0,7,12,21,32,10,16,41,13,10,0,0,7,9,9,0,3,4,0,0,3,0,26,0,0,0,0,0,4,0,0,0,0,0,10,75,2,0,14,9,2,0,33,6,0,0,0,0,0,38,0,0,52,0,33,0,42,26,29,0,31,6,44,0,0,0,5,0,4,55,0,29,1,0,0,43,0,0,13,3,36,0,11,20,85,6,0,14,20,8,0,12,0,0,7
1.0,1,2019,4,0,0,0,0,0,0,2,0,0,99,0,0,5,0,0,13,42,26,41,6,0,0,38,68,1,68,0,0,47,70,0,0,28,0,0,42,67,0,0,16,2,13,12,50,0,23,16,10,0,21,0,38,0,18,0,0,0,0,0,0,0,17,14,2,0,0,0,0,0,11,39,0,0,14,45,14,0,0,5,0,13,0,17,0,0,7,0,0,3,0,30,53,9,17,22,0,33,0,0,37,0,29,0,4,7,11,0,33,27,2,0,0,0,19,0,0,0,2,0,0,20,0,0,9,0,2,64,7,14,0,0,6,0,0,0,23,4,0,0,0,0,17,0,0,0,32,0,34,56,13,0,9,0,29,57,0,2,0,0,6,1,0,7,9,49,29,0,1,76,0,0,0,46,3
1.0,1,2019,5,0,0,5,3,6,0,54,0,0,94,12,0,37,7,0,0,32,8,2,0,0,0,0,0,3,10,9,15,0,0,0,17,0,0,7,4,92,0,0,0,31,49,0,84,0,0,4,0,0,3,12,15,0,10,1,0,0,0,0,28,0,40,8,0,0,11,29,0,12,4,75,0,0,5,44,0,0,25,0,0,8,0,27,4,0,10,23,0,0,2,10,9,0,0,2,19,0,0,6,0,22,0,0,40,10,6,45,0,6,10,7,0,15,0,0,0,0,0,0,0,0,23,55,0,0,20,0,31,0,0,28,10,30,0,35,55,0,0,0,0,20,0,5,0,18,0,11,22,107,19,0,0,0,0,0,0,7,23,7,70,0,0,0,17,0,0,23,21,7,0,0,0,0,0
1.0,1,2019,6,0,0,0,0,37,0,8,0,0,100,32,0,0,23,0,23,4,9,0,51,9,0,0,0,0,0,21,0,0,0,0,16,0,27,0,0,68,0,4,8,34,5,0,94,0,99,24,29,0,40,31,51,0,22,0,14,5,0,30,0,1,36,13,154,0,0,19,12,9,15,16,0,24,0,5,6,15,5,0,24,22,19,21,11,13,24,0,0,0,18,5,5,0,0,0,11,11,64,0,0,41,28,19,47,6,18,1,0,0,23,0,0,0,31,5,0,1,11,11,2,8,0,11,17,0,20,21,0,0,24,0,0,0,14,35,23,7,0,21,10,14,0,4,2,0,32,0,0,77,0,0,0,8,1,0,1,25,15,0,0,7,0,0,0,28,0,0,23,0,3,21,60,42,0
1.0,1,2019,7,0,0,0,0,14,75,0,1,20,173,0,31,17,0,0,49,0,16,4,1,7,0,14,0,15,27,11,52,8,0,0,19,0,51,20,17,60,0,0,7,4,0,0,120,0,0,0,49,0,3,0,0,0,0,0,38,0,0,0,24,5,42,10,21,0,0,0,2,8,0,12,18,0,4,22,1,15,14,27,0,0,0,2,0,2,0,0,43,0,0,52,0,0,0,39,8,0,0,39,0,14,0,0,43,0,27,0,3,8,0,45,0,23,16,8,15,44,29,0,22,0,0,44,6,6,2,4,29,7,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,76,0,0,0,11,23,1,10,0,24,0,28,31,2,22,107,62,16,23,50,17,0,0,17,0,0
1.0,1,2019,8,0,0,72,0,0,40,5,14,0,91,2,7,24,0,0,4,0,13,0,0,8,0,6,46,0,0,52,0,0,6,0,9,0,0,0,0,78,0,0,17,0,0,16,106,6,0,0,1,0,0,24,19,12,31,42,0,0,49,10,19,14,0,0,0,19,0,14,23,22,0,0,1,36,0,19,7,0,0,17,4,11,23,0,0,1,0,0,44,0,0,0,26,10,0,10,9,0,0,0,0,0,0,25,0,0,11,0,0,0,43,0,0,14,0,0,64,0,0,17,0,0,0,2,6,53,0,3,0,0,0,0,3,43,7,8,4,0,10,0,0,0,0,18,0,0,13,9,11,113,0,31,10,43,0,51,0,0,0,0,0,59,0,52,62,0,0,13,0,14,4,0,0,6,11
1.0,1,2019,9,0,40,0,0,73,1,0,0,45,123,0,0,0,23,0,29,0,28,51,7,14,0,12,17,0,0,0,26,0,0,0,0,2,6,2,7,78,0,14,11,0,18,34,103,0,68,17,14,16,0,49,0,14,15,0,0,0,0,0,0,7,9,0,0,0,14,12,38,0,8,0,1,9,0,34,0,0,0,0,0,0,8,1,0,42,15,0,0,9,0,37,29,52,0,0,93,0,13,22,0,5,1,0,0,8,1,0,0,9,0,69,3,0,18,31,0,42,27,88,7,0,0,0,9,0,14,84,0,16,15,0,12,0,0,0,9,8,5,0,0,7,0,1,0,1,12,0,0,25,12,0,0,0,0,15,10,16,0,0,0,0,0,1,0,59,0,16,7,0,0,60,45,0,0
1.0,1,2019,10,3,0,0,6,16,0,0,18,0,99,0,31,8,0,0,2,7,0,0,0,0,40,0,0,47,2,1,22,14,14,0,0,0,0,0,0,121,6,0,0,0,44,44,142,0,16,0,0,9,0,111,11,0,6,24,0,23,0,32,29,23,13,0,28,11,0,9,0,6,12,0,31,0,48,0,0,0,11,0,11,0,0,4,24,0,5,15,0,0,16,0,0,0,17,17,0,21,6,25,48,12,5,0,19,22,0,0,0,0,0,9,2,25,0,0,7,58,6,0,42,9,0,0,58,0,0,11,0,58,0,0,0,79,46,0,8,1,0,8,0,0,56,0,25,10,2,0,23,22,0,58,6,0,0,5,9,0,85,0,6,0,0,24,0,3,0,0,0,8,0,0,0,18,0
1.0,1,2019,11,36,0,0,0,13,0,14,0,12,84,18,0,0,0,0,0,83,13,0,6,0,0,34,55,3,0,0,14,4,0,4,51,49,0,0,28,121,65,0,0,10,0,50,42,3,0,0,0,0,38,7,9,26,33,0,16,9,0,24,0,0,5,9,0,19,0,23,0,25,42,22,0,0,35,0,0,6,0,0,11,0,0,8,31,0,0,0,18,34,0,0,0,5,30,15,61,18,0,0,2,41,36,0,11,0,0,0,3,38,19,9,9,51,0,3,45,0,7,35,0,0,0,0,3,1,6,32,1,0,0,0,0,0,0,8,25,0,11,0,46,0,10,23,0,0,0,115,5,12,68,0,1,0,31,2,48,4,65,0,45,11,1,0,0,5,45,31,0,0,1,0,26,40,42
1.0,1,2019,12,20,0,23,18,0,0,55,9,10,172,0,28,19,0,0,0,0,0,2,0,20,0,0,14,0,0,16,0,0,49,10,0,6,0,1,0,108,0,7,0,14,29,17,63,0,0,5,0,0,29,0,0,0,37,0,0,0,0,16,0,0,9,0,0,0,51,0,28,0,0,2,24,0,0,0,48,12,19,0,0,28,0,0,18,24,0,41,0,0,0,4,21,53,0,0,15,0,0,47,6,0,0,0,0,17,1,9,4,14,0,0,0,0,0,5,20,42,0,22,0,0,95,0,0,17,0,122,0,0,0,11,0,0,16,1,1,10,0,58,0,0,24,17,13,12,21,0,0,22,0,1,2,0,3,0,4,2,0,10,0,6,0,47,7,0,0,7,0,6,14,34,18,16,6
1.0,2,2019,1,26,0,61,21,24,30,5,3,12,9,15,0,0,6,20,0,0,0,0,50,0,0,0,27,17,13,46,0,0,52,5,0,0,6,13,4,2,80,0,0,0,0,0,15,0,21,0,0,0,5,0,54,4,40,0,25,41,2,11,19,24,0,0,0,0,0,0,1,30,0,0,5,3,20,56,0,0,1,0,0,0,0,27,0,0,0,39,0,0,6,3,1,0,0,0,19,0,25,0,0,0,0,0,0,24,0,18,0,18,9,0,0,19,0,40,0,28,6,0,31,6,0,0,0,0,6,30,4,0,23,9,14,7,0,0,4,44,15,0,7,21,0,0,7,3,3,17,12,30,0,11,0,14,0,0,2,42,0,0,13,0,0,22,12,2,4,0,0,0,16,0,0,6,32
1.0,2,2019,2,0,40,0,8,2,51,2,0,0,56,43,0,0,9,0,0,8,27,0,16,0,29,14,0,0,0,0,5,0,0,3,1,12,5,13,7,26,9,0,17,0,0,0,3,21,0,11,0,0,9,3,0,0,0,16,11,0,0,33,4,8,28,0,22,22,18,10,19,0,0,0,1,56,5,29,6,9,0,46,4,0,20,0,0,0,0,0,19,38,0,9,22,11,0,0,31,4,0,47,8,0,6,13,0,0,3,12,7,0,0,0,0,19,0,50,6,34,40,50,0,0,0,39,0,2,0,6,0,0,0,0,30,14,0,61,2,0,0,22,0,11,34,13,0,0,0,0,0,28,0,0,0,10,0,12,0,17,0,6,0,15,39,0,0,12,0,50,3,0,3,0,27,40,1
1.0,2,2019,3,0,0,0,0,52,6,0,14,0,28,22,0,35,26,4,0,79,0,0,0,7,0,30,118,43,0,34,0,27,0,24,0,7,0,86,18,0,0,13,0,0,23,4,22,43,0,8,32,0,0,0,0,0,0,0,0,0,0,0,23,0,7,0,0,0,18,34,7,52,10,38,0,0,0,56,0,0,32,6,48,0,0,0,3,6,1,0,0,31,0,24,74,0,28,0,0,0,22,18,36,0,0,0,7,0,1,0,0,0,2,0,34,0,0,23,0,13,0,0,0,0,0,0,24,0,0,42,58,0,0,25,11,0,0,17,9,0,31,0,19,1,22,0,0,16,0,13,0,32,56,14,5,29,8,106,0,0,0,28,15,12,6,0,13,27,1,10,0,0,0,5,0,4,7
1.0,2,2019,4,9,0,0,0,0,16,0,0,0,0,28,25,0,7,0,31,0,0,0,35,0,0,11,10,5,34,74,25,0,0,3,0,0,5,16,10,0,3,0,110,9,21,0,0,8,0,0,0,0,0,0,35,15,5,0,0,7,0,0,11,0,12,34,3,0,2,30,0,32,6,0,8,0,0,21,0,0,0,0,107,0,64,0,0,0,93,0,5,4,0,20,0,0,0,0,28,0,36,0,21,20,20,0,28,14,74,11,5,17,0,0,0,52,0,24,4,6,0,0,16,0,11,0,0,11,4,0,3,5,0,0,19,0,68,0,44,0,0,84,0,29,0,0,21,0,9,0,0,19,16,0,9,21,0,0,0,24,27,39,0,36,20,6,0,49,0,0,17,0,1,0,5,0,0
1.0,2,2019,5,0,7,17,35,0,5,2,0,0,0,0,2,5,16,13,0,5,18,0,0,0,12,0,24,56,13,5,0,0,21,13,0,0,123,0,1,9,4,32,9,0,19,7,0,0,0,7,41,1,0,16,0,2,40,12,16,0,0,0,0,7,0,15,31,0,31,0,0,4,3,21,9,0,0,30,7,0,55,17,34,16,31,0,0,5,0,0,15,35,0,14,12,41,7,0,9,12,18,0,0,0,0,0,0,0,0,0,0,33,13,0,0,34,20,1,0,0,0,0,40,8,0,0,0,0,4,4,0,32,10,0,49,32,0,16,0,0,58,67,14,26,0,0,13,14,6,0,11,10,24,0,35,0,0,14,28,5,23,0,16,10,49,12,0,3,18,0,51,5,0,0,0,0,0
1.0,2,2019,6,0,45,0,0,0,63,10,0,0,0,36,0,40,21,0,10,10,0,12,0,19,12,0,3,28,21,12,0,31,0,0,0,0,4,11,0,19,0,3,26,2,21,30,138,3,7,34,70,0,7,0,0,0,13,0,0,49,24,10,0,0,25,19,0,0,43,47,54,1,18,6,0,1,10,42,5,23,4,0,34,0,7,10,36,31,0,0,0,13,67,0,0,18,99,0,0,0,0,0,0,1,0,0,39,10,0,38,0,8,31,10,0,45,0,15,42,12,0,0,0,11,66,11,7,0,1,0,0,0,66,0,0,8,3,14,0,11,21,0,8,21,0,0,0,0,0,0,4,0,52,3,0,3,54,16,0,0,0,0,0,0,10,72,0,6,49,0,3,0,0,41,16,0,0
1.0,2,2019,7,15,0,11,3,2,0,0,0,15,0,0,0,9,0,16,0,0,13,5,4,0,10,4,0,0,0,3,0,0,25,66,2,0,0,8,0,0,22,0,0,0,0,10,0,30,0,0,0,0,24,18,42,21,0,7,0,0,0,58,0,4,0,0,0,12,23,31,19,0,0,7,15,0,0,30,58,9,0,0,19,21,0,3,11,0,2,0,35,9,0,0,34,5,42,0,0,0,47,19,11,12,8,6,0,1,0,0,16,25,25,12,10,0,25,22,63,0,39,0,0,0,0,0,0,0,0,11,50,37,0,9,50,20,31,12,15,0,3,1,0,19,0,0,10,5,0,44,0,25,18,1,12,8,0,4,21,0,23,2,0,19,0,17,0,13,24,1,0,0,13,0,58,0,0
1.0,2,2019,8,18,2,5,1,0,0,0,0,7,0,2,0,17,0,2,5,6,0,0,23,16,0,0,0,26,97,66,10,0,3,0,10,0,130,31,0,0,49,10,0,39,35,56,8,2,18,15,0,0,0,35,1,17,8,0,0,0,0,0,21,0,14,0,0,7,0,0,8,0,59,0,0,58,0,35,0,21,19,0,0,26,0,0,4,0,0,24,0,0,32,0,0,7,1,0,50,7,0,6,0,34,0,14,2,11,13,6,0,51,26,0,11,0,0,0,0,0,0,0,0,0,0,0,13,0,0,14,34,43,0,1,0,59,10,1,54,22,12,2,0,25,0,0,0,96,11,43,0,32,5,76,0,0,12,9,8,8,0,0,0,40,0,59,0,0,25,20,4,28,12,21,0,0,0
1.0,2,2019,9,7,0,0,0,0,0,2,0,0,31,47,0,0,0,4,22,0,0,0,6,0,17,7,13,2,0,0,9,29,0,14,2,1,4,38,0,3,0,0,0,0,28,56,67,0,0,0,22,0,0,12,0,3,35,0,0,0,0,31,0,0,5,0,0,0,39,0,13,0,19,0,1,0,9,11,46,41,9,0,17,0,4,8,21,1,0,1,0,0,38,1,35,6,5,2,0,50,0,0,0,0,0,31,0,75,8,0,0,0,0,8,11,0,0,0,0,33,8,10,0,1,51,20,11,0,13,0,0,5,5,0,14,4,0,35,39,4,0,4,14,3,0,10,5,0,0,3,35,0,8,62,0,37,0,4,0,0,0,0,0,0,0,0,17,0,0,22,7,0,14,94,0,2,0
1.0,2,2019,10,0,1,0,0,0,0,0,26,103,75,9,0,0,4,2,8,0,0,0,0,7,0,0,0,21,1,0,1,28,2,0,9,27,2,30,9,0,0,9,99,19,9,5,206,0,0,0,12,0,0,2,61,20,21,7,13,0,15,17,0,44,21,0,19,0,41,0,0,17,0,10,29,0,0,0,0,0,112,0,0,36,0,17,9,19,18,0,54,14,9,0,4,0,33,0,0,27,0,5,1,2,0,0,9,59,0,0,0,0,48,0,27,2,14,6,1,35,0,0,26,46,0,35,0,0,0,21,0,0,0,0,0,0,0,1,14,0,29,6,13,0,4,28,5,0,25,0,0,36,9,34,0,0,0,0,50,52,20,14,31,0,0,0,0,17,0,0,2,75,0,0,17,8,0
1.0,2,2019,11,6,18,0,0,0,19,0,0,7,12,0,31,7,0,0,32,0,33,14,11,18,17,0,0,0,0,3,39,11,3,22,7,20,0,0,0,22,0,0,0,0,50,24,58,34,0,48,0,0,0,0,0,0,29,24,48,27,8,0,0,0,22,0,16,4,0,0,0,0,12,8,3,0,93,0,4,0,2,0,0,5,1,11,0,17,0,6,0,9,0,0,14,0,0,0,26,10,0,22,3,0,0,0,20,0,0,32,0,11,15,0,13,35,96,0,0,7,0,18,0,1,67,53,16,16,1,6,13,0,0,0,0,11,64,2,0,3,27,0,0,54,14,11,0,27,0,0,0,0,3,7,30,26,0,13,9,0,0,7,12,0,27,0,0,0,0,0,0,0,13,19,0,0,6
1.0,2,2019,12,5,0,0,25,0,33,32,0,41,5,0,20,5,0,8,22,1,14,0,0,0,6,0,0,0,0,3,0,0,6,0,39,7,8,0,3,1,11,14,65,0,0,0,115,0,0,2,21,0,0,0,0,0,12,3,4,16,0,0,0,0,0,0,0,16,0,0,14,43,14,22,0,0,0,5,1,0,0,0,0,15,0,0,18,0,0,29,11,0,0,56,47,0,0,0,1,0,0,0,0,6,9,0,0,0,8,0,22,0,1,44,14,0,6,11,0,2,0,0,45,0,0,0,14,34,0,0,31,0,48,0,7,29,0,34,0,0,0,0,4,47,2,26,4,34,14,0,0,0,0,16,20,0,69,96,0,29,0,5,45,21,0,0,0,10,0,2,5,0,18,23,5,41,0
